Date,Carbon price in EUR,EUR/GBP,Carbon price in GBP
01/04/2026,74.64,0.8725,65.1234
01/03/2026,72.51,0.8736,63.344736
01/02/2026,70.29,0.8761,61.581069
01/01/2026,81.26,0.8657,70.346782
01/12/2025,87.37,0.8717,76.160429
01/11/2025,83.26,0.876,72.93576
01/10/2025,78.54,0.8769,68.871726
01/09/2025,75.72,0.8727,66.080844
01/08/2025,72.99,0.8654,63.165546
01/07/2025,72.66,0.8644,62.807304
01/06/2025,68.97,0.8582,59.190054
01/05/2025,70.41,0.8431,59.362671
01/04/2025,66.55,0.8498,56.55419
01/03/2025,67.98,0.8374,56.926452
01/02/2025,71,0.8249,58.5679
01/01/2025,83.93,0.8363,70.190659
01/12/2024,73,0.8272,60.3856
01/11/2024,68.4,0.8301,56.77884
01/10/2024,64.58,0.8436,54.479688
01/09/2024,65.56,0.8322,54.559032
01/08/2024,70.3,0.8411,59.12933
01/07/2024,69.24,0.842,58.30008
01/06/2024,67.36,0.8471,57.060656
01/05/2024,74.07,0.8505,62.996535
01/04/2024,69.2,0.8537,59.07604
01/03/2024,61.93,0.8547,52.931571
01/02/2024,56.44,0.8555,48.28442
01/01/2024,64.4,0.8524,54.89456
01/12/2023,80.19,0.8667,69.500673
01/11/2023,70.55,0.8621,60.821155
01/10/2023,79.41,0.8701,69.094641
01/09/2023,81.45,0.8663,70.560135
01/08/2023,86.03,0.8552,73.572856
01/07/2023,86.81,0.8565,74.352765
01/06/2023,89.57,0.8585,76.895845
01/05/2023,80.77,0.859,69.38143
01/04/2023,87.65,0.8771,76.877815
01/03/2023,91.75,0.8786,80.61155
01/02/2023,99.54,0.8796,87.555384
01/01/2023,93,0.8816,81.9888
01/12/2022,82.26,0.8844,72.750744
01/11/2022,84.9,0.8628,73.25172
01/10/2022,79.97,0.8615,68.894155
01/09/2022,66.73,0.8777,58.568921
01/08/2022,80.03,0.8651,69.233953
01/07/2022,78.55,0.8397,65.958435
01/06/2022,90.16,0.8607,77.600712
01/05/2022,84.02,0.8516,71.551432
01/04/2022,84.45,0.8383,70.794435
01/03/2022,76.48,0.8422,64.411456
01/02/2022,82.21,0.8358,68.711118
01/01/2022,89.24,0.835,74.5154
01/12/2021,80.65,0.84,67.746
01/11/2021,75.37,0.8522,64.230314
01/10/2021,58.71,0.8442,49.562982
01/09/2021,61.74,0.8594,53.059356
01/08/2021,60.76,0.8582,52.144232
01/07/2021,53.33,0.8536,45.522488
01/06/2021,56.37,0.8571,48.314727
01/05/2021,51.7,0.86,44.462
01/04/2021,48.84,0.8697,42.476148
01/03/2021,42.55,0.8507,36.197285
01/02/2021,37.28,0.8664,32.299392
01/01/2021,32.95,0.8856,29.18052
01/12/2020,32.72,0.8929,29.215688
01/11/2020,29.14,0.8952,26.086128
01/10/2020,23.71,0.8997,21.331887
01/09/2020,26.93,0.9068,24.420124
01/08/2020,28.66,0.8925,25.57905
01/07/2020,26.28,0.8999,23.649372
01/06/2020,26.97,0.9055,24.421335
01/05/2020,21.4,0.8988,19.23432
01/04/2020,19.57,0.8697,17.020029
01/03/2020,17.68,0.8879,15.698072
01/02/2020,23.61,0.8599,20.302239
01/01/2020,23.88,0.8402,20.063976
01/12/2019,24.64,0.8447,20.813408
01/11/2019,25.22,0.8516,21.477352
01/10/2019,25.61,0.8614,22.060454
01/09/2019,24.72,0.8864,21.911808
01/08/2019,26.32,0.9037,23.785384
01/07/2019,27.98,0.9106,25.478588
01/06/2019,26.28,0.8953,23.528484
01/05/2019,24.46,0.8847,21.639762
01/04/2019,26.29,0.8602,22.614658
01/03/2019,21.54,0.8605,18.53517
01/02/2019,21.69,0.8571,18.590499
01/01/2019,22.3,0.8729,19.46567
01/12/2018,25.01,0.8987,22.476487
01/11/2018,20.5,0.8868,18.1794
01/10/2018,16.36,0.8859,14.493324
01/09/2018,21.21,0.8907,18.891747
01/08/2018,21.09,0.8947,18.869223
01/07/2018,17.4,0.8905,15.4947
01/06/2018,14.99,0.8844,13.257156
01/05/2018,14.91,0.8787,13.101417
01/04/2018,13.59,0.8768,11.915712
01/03/2018,13.28,0.8788,11.670464
01/02/2018,10.1,0.8859,8.94759
01/01/2018,9.28,0.875,8.12
01/12/2017,8.18,0.8875,7.25975
01/11/2017,7.53,0.8798,6.624894
01/10/2017,7.37,0.8765,6.459805
01/09/2017,7.07,0.8816,6.232912
01/08/2017,5.94,0.9208,5.469552
01/07/2017,5.23,0.8959,4.685557
01/06/2017,5.03,0.8767,4.409801
01/05/2017,4.98,0.8719,4.342062
01/04/2017,4.57,0.841,3.84337
01/03/2017,4.69,0.8483,3.978527
01/02/2017,5.24,0.8541,4.475484
01/01/2017,5.36,0.8581,4.599416
01/12/2016,6.57,0.8519,5.596983
01/11/2016,4.58,0.8463,3.876054
01/10/2016,5.9,0.8965,5.28935
01/09/2016,4.96,0.8659,4.294864
01/08/2016,4.47,0.8491,3.795477
01/07/2016,4.43,0.8447,3.742021
01/06/2016,4.47,0.8341,3.728427
01/05/2016,6.1,0.7686,4.68846
01/04/2016,6.18,0.7837,4.843266
01/03/2016,5.22,0.7921,4.134762
01/02/2016,5.01,0.7811,3.913311
01/01/2016,6.07,0.7603,4.615021
01/12/2015,8.29,0.7368,6.108072
01/11/2015,8.58,0.7014,6.018012
01/10/2015,8.64,0.7132,6.162048
01/09/2015,8.15,0.7386,6.01959
01/08/2015,8.08,0.7306,5.903248
01/07/2015,7.88,0.7031,5.540428
01/06/2015,7.46,0.7086,5.286156
01/05/2015,7.36,0.7184,5.287424
01/04/2015,7.43,0.7309,5.430587
01/03/2015,6.97,0.724,5.04628
01/02/2015,7.15,0.7251,5.184465
01/01/2015,7.15,0.7489,5.354635
01/12/2014,7.34,0.7766,5.700244
01/11/2014,7.04,0.7955,5.60032
01/10/2014,6.35,0.7828,4.97078
01/09/2014,5.84,0.779,4.54936
01/08/2014,6.41,0.7911,5.070951
01/07/2014,6.23,0.7928,4.939144
01/06/2014,5.86,0.8003,4.689758
01/05/2014,5.1,0.8135,4.14885
01/04/2014,5.46,0.8216,4.485936
01/03/2014,4.7,0.8263,3.88361
01/02/2014,7.15,0.8241,5.892315
01/01/2014,5.59,0.8203,4.585477
01/12/2013,4.95,0.83,4.1085
01/11/2013,4.36,0.8301,3.619236
01/10/2013,4.81,0.8465,4.071665
01/09/2013,5.04,0.8355,4.21092
01/08/2013,4.57,0.8524,3.895468
01/07/2013,4.34,0.8744,3.794896
01/06/2013,4.21,0.855,3.59955
01/05/2013,3.95,0.8549,3.376855
01/04/2013,3.12,0.8475,2.6442
01/03/2013,4.81,0.8427,4.053387
01/02/2013,4.9,0.8614,4.22086
01/01/2013,3.42,0.8561,2.927862
01/12/2012,6.67,0.8127,5.420709
01/11/2012,6.2,0.8117,5.03254
01/10/2012,8.24,0.8032,6.618368
01/09/2012,7.96,0.795,6.3282
01/08/2012,8.08,0.7926,6.404208
01/07/2012,6.93,0.7847,5.437971
01/06/2012,8.28,0.8056,6.670368
01/05/2012,6.36,0.8021,5.101356
01/04/2012,7.6,0.8156,6.19856
01/03/2012,7.12,0.8331,5.931672
01/02/2012,8.56,0.8371,7.165576
01/01/2012,8.04,0.8297,6.670788
01/12/2011,7.32,0.8328,6.096096
01/11/2011,8.35,0.8563,7.150105
